idNumbebr,idNumber
9587,11547
9587,13636
9587,11415
9587,18497
9587,10760
9587,13009
11547,18751
11547,8163
11547,2041
11547,1424
260,7093
260,19122
260,370
260,1469
7093,13660
7093,17010
7093,18942
7093,11065
19122,6193
19122,15212
19122,3252
19122,10591
19122,15022
370,6855
2670,4194
2670,13195
2670,4440
2670,6814
2670,2769
2670,14319
2670,10327
2670,1892
2670,10705
2670,1083
2670,2403
2670,12780
4194,11326
4194,19026
4194,5403
13195,17931
13195,8118
13195,5120
13195,9383
11116,3181
11116,18724
11116,18125
11116,2767
11116,12420
11116,15594
11116,8955
3181,11533
3181,12487
3181,4357
3181,11482
3181,9604
3181,8317
3181,16002
3181,3074
3181,12560
3181,8535
3181,11939
3181,3024
3181,8718
3181,1863
3181,10215
3181,11221
3181,15162
3181,13646
3181,14794
3181,7232
3181,7804
3181,18531
18724,9655
18724,5200
18724,4245
18724,3285
18724,9739
18724,11654
18125,13889
18125,295
18125,13007
2767,9666
2767,6048
2767,10889
2767,6533
2767,5910
2767,5178
2767,2277
2767,10617
2767,748
2767,14529
2767,4536
2767,1996
2767,6944
12420,722
12420,2184
12420,11285
12420,14086
12420,5667
12420,8058
12420,3183
15594,3822
15594,16584
15594,11465
15594,1978
15594,10581
15594,11222
15594,11549
15594,16049
15594,1854
15594,18034
15594,6654
15594,1649
15594,18822
15594,12075
15594,4938
15594,16569
15594,18158
15594,7398
15594,8971
15594,13643
15594,13415
15594,14663
15594,7993
15594,4138
15594,5098
15594,16613
15594,17931
15594,17476
15594,11606
15594,18566
15594,14836
15594,5138
15594,9170
15594,6431
15594,18740
15594,7834
15594,7835
15594,3301
15594,12961
15594,9210
15594,17653
15594,15734
15594,15812
15594,10094
15594,6175
15594,4642
15594,12074
15594,18118
15594,14985
15594,1072
15594,17135
15594,11438
15594,18031
15594,13491
15594,17144
15594,24
15594,5036
15594,18695
15594,18813
15594,16190
15594,3790
15594,18076
15594,4187
15594,15148
15594,1659
15594,18571
15594,1241
15594,14849
15594,10080
15594,6691
15594,6839
15594,16868
15594,2
15594,18101
15594,2776
15594,3946
15594,7
15594,10797
15594,13803
15594,13881
15594,6467
15594,14427
15594,8030
15594,3277
15594,5058
15594,5865
15594,7325
15594,510
15594,6886
15594,965
15594,4174
15594,14649
15594,4540
15594,15951
15594,6472
15594,9327
15594,12027
15594,5462
15594,19004
15594,19100
15594,4713
15594,7980
15594,2884
15594,19383
15594,17533
15594,6371
15594,9845
15594,17769
15594,10093
15594,10082
15594,19403
15594,14816
15594,7129
15594,11586
15594,11122
15594,11121
15594,186
15594,5094
15594,199
15594,5042
15594,10892
15594,11224
15594,10931
15594,14297
15594,10102
15594,16979
15594,15081
15594,2914
15594,18138
15594,13619
15594,8107
15594,9542
15594,3674
15594,6269
15594,5769
15594,7560
15594,13050
15594,13240
15594,8738
15594,5976
15594,306
15594,3522
15594,16847
15594,8797
15594,13776
15594,2123
15594,6751
15594,10142
15594,11773
15594,99
15594,17790
15594,18867
15594,4925
15594,6422
15594,17679
15594,16242
15594,911
15594,9688
15594,2312
15594,3424
15594,9378
15594,15240
15594,9782
15594,11425
15594,10359
15594,967
15594,17412
15594,17346
15594,13821
15594,17038
15594,18799
15594,14315
15594,14934
15594,1261
15594,12581
15594,16220
15594,3567
15594,6159
15594,15674
15594,2720
15594,11546
15594,10729
15594,18665
15594,5625
15594,110
15594,7146
15594,6974
15594,17741
15594,10367
15594,2513
15594,11228
15594,4083
15594,6999
15594,19437
15594,2878
15594,13906
15594,17101
15594,16546
15594,19127
15594,15750
15594,9560
15594,15425
15594,304
15594,10208
15594,11823
15594,17320
15594,513
15594,7269
15594,17025
15594,8298
15594,10925
15594,11727
15594,8556
15594,3984
15594,4795
15594,16260
15594,3187
15594,13342
