idNumbebr,idNumber
1,9396
1,102
1,7084
1,9605
1,6405
1,9366
1,6176
1,769
1,10106
1,9826
1,2557
1,10365
1,7267
1,921
1,7538
1,8860
1,5002
1,4029
1,1782
1,5574
1,4390
1,7410
1,875
1,8706
1,1744
1,5655
1,789
1,886
1,3826
1,4001
1,3335
1,9590
1,7147
1,225
1,7336
1,4273
1,4976
1,6065
1,1105
1,7860
1,1884
1,9641
1,602
1,6799
1,8028
1,10149
9396,95
9396,125
9396,129
9396,143
9396,276
9396,340
9396,342
9396,406
9396,411
9396,465
9396,482
9396,502
9396,723
9396,829
9396,894
9396,954
9396,1100
9396,1138
9396,1215
9396,1258
9396,1386
9396,1391
9396,1417
9396,1441
9396,1595
9396,1666
9396,1696
9396,1744
9396,1761
9396,1763
9396,1766
9396,1979
9396,2028
9396,2041
9396,2085
9396,2129
9396,2157
9396,2178
9396,2245
9396,2304
9396,2356
9396,2362
9396,2378
9396,2379
9396,2478
9396,2569
9396,2615
9396,2620
9396,2710
9396,2755
9396,2766
9396,2771
9396,2895
9396,2932
9396,2937
9396,2959
9396,3026
9396,3067
9396,3082
9396,3182
9396,3186
9396,3206
9396,3321
9396,3349
9396,3432
9396,3595
9396,3624
9396,3800
9396,3806
9396,3824
9396,3883
9396,3886
9396,4033
9396,4190
9396,4192
9396,4313
9396,4359
9396,4443
9396,4470
9396,4589
9396,4608
9396,4738
9396,4775
9396,4917
9396,5002
9396,5111
9396,5122
9396,5189
9396,5197
9396,5242
9396,5289
9396,5325
9396,5329
9396,5359
9396,5362
9396,5367
9396,5472
9396,5566
9396,5574
9396,5586
9396,5631
9396,5665
9396,5675
9396,5747
9396,5777
9396,5839
9396,5871
9396,5933
9396,6145
9396,6180
9396,6335
9396,6450
9396,6463
9396,6468
9396,6472
9396,6554
9396,10636
9396,6811
9396,6846
9396,6851
9396,6986
9396,7020
9396,7194
9396,7243
9396,7355
9396,7472
9396,7505
9396,7513
9396,7683
9396,7696
9396,7775
9396,7787
9396,7864
9396,7920
9396,7943
9396,8046
9396,8049
9396,8058
9396,8197
9396,8211
9396,8309
9396,8363
9396,8381
9396,8388
9396,8410
9396,8470
9396,8473
9396,8528
9396,8574
9396,8579
9396,8589
9396,8607
9396,8680
9396,8751
9396,8756
9396,8767
9396,8839
9396,8899
9396,8926
9396,8927
9396,8979
9396,9011
9396,9044
9396,9072
9396,9087
9396,9142
9396,9199
9396,9203
9396,9220
9396,9229
9396,9313
9396,9342
9396,9371
9396,9420
9396,9444
9396,9491
9396,9510
9396,9561
9396,9651
9396,9661
9396,9706
9396,9736
9396,9780
9396,9853
9396,9864
9396,9884
9396,9964
9396,9979
9396,10086
9396,10147
9396,10375
9396,10389
9396,10400
9396,10404
9396,10421
9396,10423
9396,10424
9396,10453
9396,10548
9396,10554
9396,10600
9396,10607
9396,10608
102,9561
102,3373
102,4772
102,3432
102,5152
